Title,Review,Rating Score
A Decent Thrill But What Happened to Gravitational Time Dilation,"The latest installment in the MonsterVerse, ""Godzilla x Kong,"" delivers on its promise of spectacular kaiju battles and jaw-dropping visual effects. The titanic clash between the two iconic monsters is undeniably entertaining, providing fans with the epic showdown they've been eagerly anticipating. However, despite its strengths, the film leaves some crucial questions unanswered, particularly regarding the concept of aging in the Hollow Earth as touched upon in the Monarch TV Season.Firstly, the movie excels in its action sequences. The battles between Godzilla and Kong are choreographed with precision, showcasing the immense power and unique abilities of each titan. The special effects are top-notch, bringing these legendary creatures to life in a way that is both awe-inspiring and terrifying. The sound design complements the visuals perfectly, making each roar and clash resonate with the audience.The human characters, often a weak point in kaiju films, are serviceable here. While their storylines can feel secondary to the monster action, the cast does a commendable job of keeping viewers engaged. The exploration of the Hollow Earth is particularly intriguing, offering a glimpse into a mysterious and vibrant world that adds depth to the MonsterVerse lore.However, the film stumbles when it comes to integrating the broader mythology established in the Monarch TV Season. One glaring issue is the concept of aging in the Hollow Earth. The TV series hinted at the unique temporal properties of this subterranean realm, suggesting that time might function differently there. This intriguing idea had the potential to add a fascinating layer to the story, but ""Godzilla x Kong"" fails to address it adequately.As the characters delve deeper into the Hollow Earth, one can't help but wonder: how does aging work in this environment? Are the creatures and ecosystems affected by time in the same way as those on the surface? The movie provides no clear answers, leaving fans of the franchise with lingering questions. This oversight feels like a missed opportunity to enrich the narrative and explore the implications of such a unique setting.In conclusion, ""Godzilla x Kong"" is a solid entry in the MonsterVerse that delivers where it counts: in the epic, monstrous mayhem. The visual spectacle and the sheer scale of the battles make it worth watching for fans of the genre. However, its failure to address the intriguing concept of aging in the Hollow Earth, as introduced in the Monarch TV Season, and its occasionally uneven pacing prevent it from reaching its full potential. With a bit more attention to detail and storytelling cohesion, this movie could have been a true titan of its genre.",6
Good entertainment. Special effects oriented movie.,"I've had a good fun during this movie. It's important to recognise that Godzilla x Kong is purely entertainment and special effects focused. At times, there are too many 'effects' and action-packed moments that movie is dragging us into - at the cost of some more interesting aspects, such as for example a bit more constructive interactions between the main characters, learning their stories, motive etc.There isn't time for that really, because this movie doesn't slow down and the time ends up passing rather fast.That's why you should not expect too demanding plot. It doesn't have too much depth, yet it manages to remain sensible enough to make a decent storyline that can be followed. I've totally enjoyed getting immersed in getting to know the worlds created in this movie.",6
""" Blockbuster Fun - Godzilla X Kong ""","~ I did not have any expectations whatsoever before watching the film , after the trailers dropped I was kind of disappointed , but it was one hell of a ride in the theatres. Really enjoyed it. It is fun , action - packed , it has comedy , two or more gigantic monsters fighting on the big screen and it was damn fun. Kong is the main focus of the story and it does make sense because he is a character that can connect with people. The human characters are actually likable in this one especially Brian Tyree Henry as Bernie and Dan Stevens as Trapper. Rebecca Hall's character Dr. Irene Andrews is good aswell. But the main thing I loved about the film was it's epic climax. It was great. Overall the film is fun and entertaining that's all.",7
"Lots of monster action and a good setting, but doesn't really shine.","Pretty much what was expected with lots of Kaiju action and big, destructive fight scenes. The three plotlines each have their merits and tie together nicely, but it did slow the pace in the middle and the big showdown at the end felt a bit anticlimactic. Most of it was a bit silly, but it was entertaining and fun with good special effects, plenty of action and ample light-hearted moments. The human characters were annoying but bearable but the spectacle of the setting and human side of Kong made up for it. It's a great world they've created with Monarch and Hollow Earth, but there is only so much you can get out of the overall premise.",5
This movie has a HEART!!!!! LONG LIVE THE MONSTERVERSE,"I awaited for this movie for such a long time and oh boy, i was more than astonished!!! This movie is an emotional roller coaster, blending extremely exciting action with touching bonds and epic team ups.Suko, Kong's loyal companion who is like a son to him, steals a spotlight for me, he is so cute and shows his loyalty and affection towards Kong. Godzilla's and Kong's eventual team up is what we all wanted for so many years!!! For these two iconic titans to fight together against Skar King and one other formidable foe.The introduction of the main antagonist of the movie, Skar King is very interesting, I really like the concept of this antagonist as he will bring some emotions to the character as well which is very interesting for a titan to have such human like behavior, and also adds a whole new layer of excitement to the movie with later putting one of the best monster battles ever brought from a movie.But whats truly sets this movie apart is its heart. Amidst the chaos and destruction of the epic monster battles, there are moments of pure emotion between the titans and the humans, and what brings ""The New Empire"" is the new bonds that were made between the characters for me.This is by far the best addition to the Monsterverse yet, it has all that we asked for and its truly a masterpiece, thank you Legendary, This will probably be one of my favorite movies ever made!!! And you MUST watch this on IMAX for the best experience! :D.",10
Dudes rock,"Starts off as (and sadly that hue does stay during most of the movie) another run-of-the-mill, generic hollywood tentpole blockbuster. From the weightless cgi looks to the boring dialogue and characters, the first act of Godzilla x Kong didn't do much for me. However, as the film progresses, it started to show off its bonkers ideas and charms one by one, and slowly & ultimately managed to win me over. This cinematic universe slowly drifted away from its dark, grounded, almost disaster-movie-like origins of godzilla 2014 as it went on, and after watching gxk you wouldn't believe they're even set within the same continuity. Gone are the rains, dust and night-time battles of king of the monsters or the vibrant, operatic cinematography larry fong achieved in skull island. In gxk, 90% of the battles are set in broad daylight, and the camera spins, cuts, and turns upside down (director adam wingard goes crazy in some shots) to maximize and display these battle of titans in a cartoon-like manner. You are basically being waterboarded with cgi spectacle, and that's not a bad thing! As someone who was turned off by the way godzilla ran in the first trailer, i kinda do miss the old aesthetic of the monsterverse, but i can't deny that what they achieved in gxk is helluva fun. I was basically cheering inside during the third act. They cut off all the bs (mostly) and solely focused on delivering a bonkers, digital, fantasy-like colosseum for the titans to punch and throw each other. Also notable is the role of kong as basically the protagonist of the movie. Contrary to godzilla, who gets less screentime and is treated more like a force of nature/beast he is, kong acts, feels, and emotes more like a human. There is an interesting contrast between kong's human-like and godzilla's animalistic behavior. Most of kong's scenes works as a dialogue-free fantasy action film about a lone warrior wandering this fantasy world and bonding with a child.Hollow earth where exotic creatures dwell, ancient hidden civilization in there, huge temples built with shining crystals, hidden lore of monsters, portals, giant monkey tyrant riding an ice dragon, anti-gravity action sequence, and historic landmarks being destroyed disaster-movie-style. You can not fully be on board with the new direction, but you can't deny its charm and fun.Also forgot to mention godzilla fighting an radioactive(?) sea dragon in the arctic. Think this maybe qualifies as a gonzo blockbuster.",7
Brain dead but entertaining,"Look with a title like that, you can understand the internet's disappointment when the two titular titans don't kiss...The fact that Godzilla x Kong comes so soon after Minus One redefined what it means to be a Godzilla film, The New Empire looks more and more like the bigger, dumber cousin you're mother would insist you play with when you were a child. If I'm honest, you come to this film for the sheer kaiju-smashing spectacle and not much else, because it doesn't have much else to offer. It starts with a lot of promise but takes itself too seriously and becomes tediously long and drawn out... also barely any Godzilla in this Godzilla movie. Dan Stevens and Brian Tyree Henry are desperately trying to make this one-dimensional material work. I thank them for their service as they were easily the most likeable part of the cast. Meanwhile, Adam Wingard's direction is nothing special and Junkie XL sounds like he fell asleep on his synthesisers half the time, ultimately leaving Godzilla × Kong feeling like the lesser parts of the Showa era, dumb fun with nothing much to cut your teeth into and not a lot worth giving a damn about.",5
Sublime,"Everyone is just comparing Godzilla X Kong The New Empire with Godzilla Minus One which is such a bad move. These two films have completely different tones and should not be compared. Legendary can make Godzilla movies with Godzilla -1's tone but we must also welcome something different. The action sequences are out of this world and CGI too. Human characters are not the best in Legendary's monsterverse, so we should get over that by now. Be sure to watch it on the big screen. The vibrance is also an another feature of this film that makes me fall in love with it. Maybe it won't be received well by the critics but the audience makes the movie successful and the the audience will LOVE it. A thumbs up from me. 👍",10
The monsters continue to entertain,"The epitome of turning your brain off. This film is ridiculous and it knows it. It fully leans into the campiness and fun of the situation and thus the film is a fun time overall.The highlight is definitely Kong and his plot line. This film and Godzilla vs Kong have him be the main focus and the film does a good job with conveying his thoughts and feelings with little to no dialogue (sort of). His journey feels the most fleshed out and the villain is probably has the most personality of any monsterverse antagonist. In contrast, Godzilla gets very little other than going around killing monsters and helping out in the 3rd act.With the focus more squarely on the monsters, we get a lot more action and it's pretty good. The CGI is great and the action choreography is pretty good as well. The plot simply acts as a means to get from one fight to the other, with no attention for consistency or logic.Unfortunately, the major drag of this film, like many monsterverse films, are the humans. They all exist to spout exposition, state the obvious or intervene at a pivotal moment in the story. They have very little character and their arcs are pathetic. The only bright spot is Trapper, who feels like just the kind of character the monsterverse needs more of. Someone who sees everything ridiculous going on and seems to be enjoying every second of it.Overall, Godzilla X Kong is exactly what you thought it would be. Turn your brain off for 2 hours and simply bask in the ridiculous premise and the epic monster fights.",6
This movie is neither for kids not for adults,"When I was a kid, in mid nineties, I watched Godzilla and dragon movies in theatres and was mesmerized. So, I took my kids to this movie with high expectations. But, this turned out to be a huge disappointment.There is no logic, no realistic situation and no serious story telling attempt.It's like 'ok, let us get Godzilla and Kong together and add some good VFX, it's more than enough'.We were expecting some real badass character against Godzilla+ Kong, since it was hyped that not even Godzilla + Kong can defeat this character.But, this character turned out to be a dud and didn't live up to the hype, not even to a small extent.Whole movie is without any logic. It is as if the VFX guys came up with some series of events while making the graphics.There is one scene where the space ship captain is killed. What other team members do? Just continue with their exploration without even sparing a moment of thought for their fellow mate. And how do they return back in the space ship later? The dentist flies the space ship just like that. Random characters do stuffs like we see in cartoon for toddlers.When Kong gets hurt, they already have a perfect solution in place. They exactly knew that such a thing is gonna happen, as if they had done a time travel and got the tech ready.We can list many such bloopers. It completely fails to connect with audiences. Even my 12 year old son started pointing out such stupid acts and asking me the reason. I didn't have any answer.Please get some good script writing team into action even if you need to do away with some VFX members for the sake of getting an engaging stuff. We have enough of this VFX stuffs where we need to lay our brain to rest.",3
The Most Epic & Crowd-Pleasing Spectacle In The Monster Universe,"Godzilla x Kong: The New Empire (2024) :
Movie Review -Adam Wingard's previous flick in the monsterverse, Godzilla Vs. Kong (2021), even defeated the pandemic, so you can imagine the growing popularity of this cinematic universe. With Godzilla x Kong: The New Empire, this cinematic universe of monsters has gone to the next level. This is the most epic, most explosive, and most crowd-pleasing spectacle in the monsterverse or any monster flick since Godzilla (1998). Those days of Jurassic Park (1993) and Godzilla (1998) are gone. Those childhood memories can never be matched. But yes, these new generation monster flicks can create new memories for new-age kinds and provide big-screen entertainment to all kinds of audiences. Godzilla x Kong: The New Empire does exactly that. It may still be a kid-level story as far as on-paper creative ideas are concerned, but the visual extravaganza is too powerful to notice its lukewarm storyline. It's not Godzilla vs. Kong, but it's Godzilla and Kong! I hope that takes your excitement to a whole new level.The film begins with the introduction of Kong, who is seen fighting some fox-like creatures in his den. The next scene has Godzilla's entry, who is sleeping inside a circle-like building. Godzilla's first fight is with a spider-like giant creature, and after that, he is seen sensing something and being attracted to it. Dr. Andrews (Rebecca Hall), her adopted daughter, Jia (Kaylee Hottle), Bernie (Brian Tyree Henry), and Trapper (Dan Stevens) follow Kong through a mysterious Hollow Earth, where they discover a big threat. The untold origins of the Titans and Skull Island are set to destroy the Hollow Earth, and Kong and Godzilla must join forces to beat those powerful monsters.The story by Terry Rossio, Adam Wingard, and Simon Barrett is strictly for kids. Despite some techno-savvy and resourceful elements, the screenplay doesn't create any excitement for the upcoming events. However, it all becomes very interesting and fascinating because of the visual effects and the presentation. Cameron introduced us to the blue people's god ""Ewa"" in 2009, and here Godzilla Vs. Kong has an ""Ewi"" community, coincidentally in the blue theme only. Their God is yellowish, though. As mentioned above, it's not Godzilla vs. Kong, but Godzilla and Kong. Now, this one spoiler is allowed to set the mood right and hype you up a little more.It's like a monster version of ""RRR"" (2022). First, the two powerful and fearless heroes are against each other, but in the end, they must come together. In that film, Jr. NTR and Ram Charan were seen running through fire. Here, you'll see Kong and Godzilla making a whistle worthy entry through ice and fog. Not just that, but the next 15-20 minutes are packed with explosive and larger-than-life action spectacles with a lot of crowd-pleasing moments. In one scene, Kong is seen trying to save himself from Godzilla, but the very next scene has Kong carrying Godzilla's tail on his shoulder. Hell, that's some blockbuster monstrous stuff.The performances by Rebecca Hall, Brian Tyree Henry, Dan Stevens, Kaylee Hottle, Alex Ferns, and Fala Chen are expectedly decent. Brian Tyree Henry brings a few laughs here and there, whereas Kaylee Hottle walks away with many important scenes. The production value is extremely beautiful, and the VFX work makes it a proper large-scale spectacle. Forget the other action scenes of Kong and Godzilla; those last 20 minutes of the film are alone enough to make your tickets worth their money. You'll clap, scream, hoot, and jump out of joy at seeing what's happening on screen. Before the film, fans were divided into two teams: Kong and Godzilla. But after the film, they will celebrate it together. Ben Seresin's camerawork is fine, and Josh Schaeffer's editing keeps you on the edge of your seats for nearly two hours. Adam Wingard extends his monsterverse with additional characters like Skar King, Mini Kong, and Skimu. The franchise is not limited to just Kong and Godzilla now; there are more, and that's why this one's more entertaining, more audience-friendly, and more massy. Wingard makes sure that you have a great time at the movies. Go and enjoy this gigantic entertainer in cinemas near you. Godzilla and Kong fans are in for a treat.RATING - 6.5/10*",6
Godzilla vs. Kong: The New Empire is a well-executed American addition to the monster universe that warrants a viewing,"My daughter and I caught Godzilla vs. Kong: The New Empire (2024) at the theaters this evening. The plot delves into King Kong's journey in Hollow Earth as he searches for others of his kind, only to discover a species with intentions to dominate Earth. Meanwhile, a Monarch agent cares for a young girl from Kong's island who shares a unique bond with the giant ape and believes he's in danger. Determined to help Kong, the agent leads a mission to Hollow Earth to uncover the truth and potentially save him.Directed by Adam Wingard (known for You're Next), the film features Rebecca Hall (from The Town), Brian Tyree Henry (from Bullet Train), Dan Stevens (from The Guest), and Kaylee Hottle (from Godzilla vs. Kong).Godzilla vs. Kong boasts an abundance of CGI, reminiscent of Guardians of the Galaxy or Jurassic Park, which surprisingly worked for me. The film successfully navigates the challenge of uniting Kong and Godzilla in a way that should meet expectations of fans of the monster universe. This picture is filled with exhilarating and visually stunning monster fights that are the highlight of the film. Godzilla's presence is particularly impressive, and Kong's battle upon arrival in Subterranean Earth is an epic standout moment. The evolution of the baby gorilla is fun to watch too. The film pays homage to historic Godzilla films with numerous Easter Eggs, while the storyline is adequate and essentially takes a backseat to the monster action. There are numerous sequences that only work because this is a monster universe movie and can't be taken seriously; however, the solid performances from Brian Tyree Henry and Dan Stevens provide enjoyable comic relief to offset any overdone scenes. Additionally, the soundtrack is solid and the concluding battle elicited an applause from the audience (including my daughter).Overall, Godzilla vs. Kong: The New Empire is a well-executed American addition to the monster universe that warrants a viewing. I would rate it 6.5/10 and recommend giving it a watch.",7
Just watch and enjoy,"I have to say that this movie is totally entertaining and a good movie for time spending with family. Nothing heavy, nothing complicated, easy to watch, so just enjoy your time with a bucket of pop corn and watch this movie.Kayle Hottle is so lovable, cute and pretty, while her acting is not much but she got what it takes.Dan Stevens, the character is way too cool and easy for him, but his charm says it all since the beginning to the end.The CGI is very good, so enjoyable and definitely not too cartoon.The storytelling is so easy, nothing complicated for everyone to enjoy and be happy with all the problem solving provided.",7
Not my cup of tea,"Godzilla x Kong: The New Empire is exactly what you expect it to be: big, dumb, and loud monster fights. For some people, this might work - if you love some of that rock 'em sock 'em ""Transformers""-like large-scale action, you'll get what you came for...eventually. Otherwise, this was a gigantic waste of time; a silly, pointless, illogical, and soulless film that is missing everything that makes these iconic characters special. It was like watching a kid play with their Godzilla and Kong toys, there's no substance to it. I loved Gareth Edwards' 2014 Godzilla film, with its excellent visual style and sense of scale and tone. But this is no longer that (no disrespect meant to director Adam Wingard) - it's visually incoherent and lacks any sense of scale or weight. It's almost like it's become a cartoon of what it once was. And honestly, I think Godzilla Minus One broke the Monsterverse for me. I'm more interested in deeper stories that use these creatures in more intelligent ways. Godzilla x Kong is mostly fine but it's cinematic junk food and the epitome of empty calories. The novelty has worn off and the sense of gigantic scale is lost with too much time in hollow earth. Plus I'm just really not into the ""big monkey punches big lizard"" fights anymore. Some will love this, but it's just not for me. If you liked the first Godzilla vs Kong, then you'll for sure like this! A little too dumb and mindless with nothing else really going for it. Heck, Godzilla and Kong only appear intermittently in the first 90 mins, which is bogged down with boring human exposition before our titans even share the screen. When they do it's one of the most ridiculous, anti-climactic, generic team-ups imaginable. Nonetheless, it's hard not to be entertained watching giant monsters fight, and at least they do this well. As Rotten Tomatoes summarizes: ""Come to Godzilla x Kong: The New Empire for the sheer monster-mashing spectacle - and stay for that too, because the movie doesn't have much else to offer.""",5
Godzilla x Kong: the new empire.,"What do peeps want from these movies...? Monsters fighting? Titans fighting each other? This is a solid movie! Good entertainment! Fast paced and pretty well told. You don't have to see the other (Godzilla, Skull Island, Godzilla v Kong) movies to understand this one. Humans and Titan's together fighting a new enemy. Scar King and Shimo. Plus a special classic Titan makes a comeback. Wew! Nonstop action and fun. My 12 year old son was rooting for G-man! My 16 son was only there for Kong. My wife loved Shimo. I, cheered for them all. This movie is a classic as much as Godzilla v Kong. My family had a great experience seeing this movie. Cheers.",10
Quite a surprise!,"""Godzilla x Kong: The New Empire"" unleashes a colossal spectacle that's sure to satisfy fans of monster mayhem. With jaw-dropping visuals and adrenaline-pumping action, this epic showdown between two iconic titans delivers on its promise of thrills.While the focus is squarely on the epic battles, there's enough heart and character depth to keep audiences engaged.Director Adam Wingard crafts a visually stunning and exhilarating ride that earns its place as a standout entry in the monster movie genre. For a pulse-pounding cinematic experience, ""The New Empire"" reigns supreme.It was a lot better than I thought it was going to be & that's worth something.",7
Why did people like it so much?,"Good thing to say about this film, the truth is that I didn't have many expectations in terms of the script, but there is no where to take it 😂.If your intention is to see an intelligent film with script twists, this is undoubtedly not your film.Now if you're looking for an epic fight between a radioactive lizard and a monkey, you're going to get what you're looking for.In this installment, two new creatures join in, against which our protagonists have to fight hand in hand, Kong and Gozilla.To finish with the review I am going to give my grade based on:Script: 3
Special effects: 8
Soundtrack: 4
Acting of actors: 5Final grade: 5.",5
Best of the series so far and very entertaining,"This is very entertaining movie with lots of big boss fights and all the action you could possibly handle. Seeing this at the cinema was a great ride. Not perfect movie in any form or way, but having a few beers and watching big huge monsters fight is something special.The negatives are that the CGi is not always perfect, but it does not matter too much. Another thing is that the first team going down under seem inadequate. Not really the people (at least not alone) you should send on this type of mission. The third thing is that things get a bit too much. The characters are over the top, the dentist dude is way over the top, the action is over the top. We do not only have big freaking monsters fighting, we have an ice monster aiming to bring in a new ice age, we have some alien things, weird anti gravity technology, and humans just happen to have a big freaking mechanical arm ready for Kong - which of course is a perfect fit. It all culminate in a enormous fight on Earth's surface which is also over the top.Extremely entertaining, but otherwise kinda meh. Still the best of the franchise so far and it is hard to really complain.This is not an intellectual movie, and will never win any awards, but whooooooo cares. You wanted a huge monster movie with big monsters fighting, and that is what you get.8/10 for this type of movie, but a lower score otherwise. Also a must see in the theatre - the sound design is amazing.",8
Fun Surprise,"What a fun surprise! I'm not a faithful kaiju fan though I have seen enough info to at least know what the Showa Era style is. When this movie was announced I didn't think this is where they were going but I think they did pretty good for adapting that style to a modern big screen. Also it shouldn't have to be stated but there's no sense in comparing this to Minus One and that should not take away from either experience.I'm judging this movie based on the style they were aiming for. Though the Showa Era can span from somber to straight goofy we got the feeling they were going away from the somber end of things with this one. Me personally I'm still a much bigger fan of the 2014 tone but that's not to say I can't enjoy myself here.All that being said we finally got some human-free monster interaction and communication. It works very well for me too. I do like the humans as I think they're the key to perspective in these movies. I do think the humans need to tone down on the silliness a little bit though. Expect a joke attempt for most scenes containing them.I liked how the humans integrated into the conflict here it was pretty interesting and especially hearing the story of the Titans for what hasn't been explored in these movies yet. I just think some of the scenes don't hit as hard as they should since I was basically waiting for a punchline. I want humans, I just want them done in a certain way.These monsters have WAY more personality in this one. In GvK we had some mean mugging and attitude but here we have that and much more facial expression and emotion. Some of you may like it some of you may not I don't think there's any way to know other than seeing it.This story moves FAST. Too fast. That being said, I get it, there's also a TON of story to get through. I could've sat through another 30 minutes though. Honestly I would've taken an extra 30 minutes of fighting and 30 minutes of context. I have no problem with long movies so that's just me.The fights are what you come for. This is no Minus One and it doesn't need to be. The movie has an ""Infinity War"" feeling in my opinion at one point. The gripe I have is some fights needed to be much longer. I know Godzilla is the king and I love watching him win.. but I still need to feel like it's earned especially with the context in his part of the story. There are some crazy sequences in this one and I'm glad they simply said we're going this side of the Showa Era and we do not care. That being said it's not straight goofy but it is pretty creative and cool. I think they adapted that Era to the modern Era perfectly as far as fighting goes. I just needed them to last longer. ESPECIALLY THE FINAL BATTLE. I guess it's more of a 2 part final battle but that second part was much too quick for me.Still. If this sounds like what you're looking for, go see it. I even say this isn't my favorite but I had a hell of a time. This movie is not designed to be analyzed critically it is to be injected into your veins as kaiju juice. There are still some things holding it back from that type of movie being better but it's still worth it in my opinion.",7
"Entertaining enough, but forgettable","Sadly this has to come after Minus One. If not, in itself, it would have been quite a lo more entertaining.Personally, I do not like the new choice of color for Godzilla, it brings no added benefit that is memorable, and kinda looks metrosexual.Kong's power gauntlet is just too convenient to be ready for him. Makes little sense.And Mothra makes a surprise appearance... or is that a mosquito with butterfly wings? The team really needs to revise the look of Mothra.Overall, the movie is entertaining enough, but easily forgettable. Not as good as the previous installment, and pales in comparison to the first.",5
King of the Monsters is STILL the Best,"I'm gonna be honest and just say, it's meh. I still think that King of the Monsters was the best of the 4, and after they introduced mechagodzilla in GvK, everything went downhill in terms of plot. Is the movie wonderfully cinematically pleasing? Yes! The visuals are stunning and the CGI just gets better as it goes, but it's hard to enjoy all that when the plot is so god awful.Spoilers ahead:
What part of telepathic people makes any sense in a monster vs monster movie? And why can Gia teleport? Everything about the IWI tribe in this movie made no sense to the whole plot and seemed pointlessly forced.And scar king was cool and all but he wasn't supposed to be the major threat, Shimu was supposed to be the big bad wolf and they spent a lot of time making it seem like she was a threat to global security given the fact she caused the ice age. But then she ends up just teaming with Zilla, Kong, and Mothra in the end and submits to Kong as if she's not another alpha titan who would fight for dominance.The monsters in this movie compared to the other movies seem so weightless as if they're not hundreds of thousands of pounds, 300 foot tall killing machines. And why are they so human like? It just seems like a lot of the movie made no logical sense, and you'd expect that from a monster movie, but it's honestly just too much.Overall I still enjoyed the movie, but it's probably one I wouldn't watch several time just for fun with how pointless the plot felt.",6
Wish I had this as a kid,"This movie is awesome! I went into it being dragged by my friend for his birthday as has become our tradition with this franchise. I haven't enjoyed a single movie in this franchise, until now. Now, let me get this out in the open, this movie only works if you don't think about it. I hate it when people say that and I never do, but here I think it's warranted.The main characters are saying their guesses on the current situation that turn out to be the exact explanation constantly. They basically just exist to explain the insane sci-fi/fantasy that's happening. Hieroglyphics are interpreted, not only in great detail, but also without a single misread. The robot hand they made for Kong (for some reason) just happens to be stored in hollow Earth (for some reason) right where they crashed (for some reason) and it has the medicine for frostbite in it, (for some reason) etc...But that's not really what this movie is about is it? Look at the title. And that's where this movie shines and delivers on their intent. I want Kong to have a robot hand, I don't want him to lose his hand, I want the plot to move along and for all these crazy/cool things to exist, so who cares? For whatever reason it works. The bread and butter of this is great and that's all that matter.The dumb stuff wasn't even all that dumb. I only rolled my eyes a few times and the rest was tolerable enough. It really did feel like a kids/preteens movie or big budget B movie. And there's nothing wrong with that. Because if you make a movie like this that knows what it is and tries to be nothing more, that's just fine. There is a bad way to do this and a right way. This could have been much better of course and it could have been a lot worse. But I'll take it. The little boy in me was satisfied. And kids need movies like this. I loved ""Con Air"" when I was a kid, I don't now. I didn't love ""The Insider"" as a kid, but I do now.The monster stuff was well done and there was a lot of it. I was actually surprised at how many scenes without dialogue there were and how well the story and characters came across. I found myself hooked into all of the thrills and chills which made me think, ""Am I actually enjoying this?"" The crazy world that they created with hollow Earth and the ice lizard and all that mythology was very cool and reminded me of being a kid playing with my toys. Especially, the Scar King. When that name was first said I was game. His spine whip was very cool. The creature designs was also very cool.They did very well at letting this be a monster movie. Normally it's crammed with human stuff that you really just don't care about. I think they finally figured out how to make an American monster movie. Dan Stevens was really good. I thought his character was going to be really annoying at first but he's a good actor and his naturalistic stuff was a good addition to the team. And he did comedy very well. He wasn't a badass but he knew what was going on. A big laugh came out of me when Kong laughed after knocking out the Scar King's tooth.I kept thinking that this was the movie I wanted to see as a kid. I loved Godzilla and King Kong as a kid, maybe without ever actually seeing a movie about them. I just loved the idea. The only movies I had growing up in the 90's were the originals, which were boring for a little kid, great now and the Japanese movies, which were either too cheesy or hard to find. So I'm glad that kids from now on will have this to satisfy their love of monsters.",7
A Monster Brawl Extravaganza,"First of all, don't read/listen to all those reviewers who have no idea about how the monsterverse works, especially the ones who compare GxK with Minus One. They both are movies made for their own monsterverses POV respectively. Those who still choose to compare them have no understanding about the word POV.Here's the real review for all the monster lovers out there. Yes, Adam Wingard has definitely listened to all us monster lovers and has made what we asked. More of Monstrous Action. Offcourse no movie plot, revolving around planet earth, can ever be made with 0% humans involvement, unless it's a Jurassic era documentary, so we do get a small boring human plot.The Move is filled with Monster action sequences which are epic, but some scenes did lack originality, like controlling shimo by a small piece of crystal which just automatically glows without any on/off button or some hypnotic effects only when pointed at her. CGI at various points are quite messed up. But afterall we've got what we wanted.The human plot was just stinky. Some parts were actually essential but the rest just a bunch of meaningless & ironic plot filling crap. I mean what was all that Iwi technology, crystal pyramids, anti gravity, etc, etc... BS!. A Titan vet as a full time profession... seriously!?. Apart from Kong which other Titan is gonna examine & take care of. Rest of them will straight away be ready to gulp him up. They had a metallic arm support, which is readily available in the hollow earth, just in time. It's like as if they knew kong's gonna get only his arm right arm injured. Cringe alert!Adam did try to add more of some comedic plot compared to GvK. Some people did buy it. But like i said earlier, its just a meaningless plot filling crap.Regarding the cast performance, Kaylee Hottle just had 1 worried face expression through out the movie. The rest of the cast did try to give their best in whatever screen time they had.Overall it's a great & money worthy popcorn flick, satisfying the fans monster brawling needs, but with a cringey human plot.",7
Why people are praising it?,"This is the right time where Hollywood should stop making these Godzilla and apes movies atleast for a decade.So in this movie Godzilla decided to light itself with pink lights and fight against a Godzilla like creature with white lights and freezing properties. Then there are apes, Wakanda people inside hollow Earth with great CG technologies and do nothing. Seems this movie ain't made for watching but to put cool lights on silver screen.We have few human characters as well. Protagonist, wisdom girl, cool white guy, compulsory funny black guy and one guy supposed to die about which no body cares. So all these characters go on a simple mission which turns out to be existential threat to earth so these people watch a bunch of monsters fight until credits roll.",1
Heavyweight beatdown,It's exactly what you want in a movie with Godzilla and Kong. The story is so so but the action and the visuals are incredible! Not to mention the sound design is top notch too. These are the movies that are made to be seen on the big screen with friends. If having fun at the movies isn't for you then what's the point? The villains and other monsters are a nice addition and even a surprise appearance from someone with definitely make Godzilla fans smile. Hopefully this has a sequel because who doesn't want to keep watching these Titans fight it out WWE style. Go see it on the biggest loudest screen you can!,10
